============================ TEST RESULTS ============================
Taxonomy        #Sample Baseline        t=0.20  t=0.30  t=0.40  t=0.50
car             68      0.7980          0.7584  0.7676  0.7645  0.7540
watercraft      19      0.5130          0.4955  0.5162  0.5153  0.5005
chair           63      0.4660          0.4321  0.4503  0.4543  0.4432
lamp            23      0.3810          0.3991  0.4085  0.4073  0.3735
speaker         19      0.6620          0.5634  0.5741  0.5778  0.5688
table           83      0.5130          0.4136  0.4384  0.4472  0.4404
telephone       19      0.6610          0.4937  0.5185  0.5293  0.5339
bench           19      0.4210          0.3644  0.3721  0.3595  0.3294
rifle           19      0.5440          0.5019  0.5417  0.5400  0.5295
aeroplane       45      0.5130          0.4601  0.4735  0.4705  0.4579
sofa            33      0.6280          0.5655  0.5816  0.5848  0.5753
display         11      0.4680          0.4108  0.4116  0.3987  0.3702
cabinet         16      0.7160          0.5752  0.5953  0.6097  0.6178
Overall                                 0.5065  0.5236  0.5255  0.5141
